timestamp,question,answer_type,num_sources,top_score,latency_ms
2026-01-15T15:52:03.463614,How does AI improve healthcare,answered,4,0.18687739968299866,8523
2026-01-15T15:52:34.219576,who won world cup,refused,0,0.566606879234314,3980
2026-01-15T15:53:39.918658,tell me about diabetes,answered,2,0.33062392473220825,5623
2026-01-15T16:08:12.554230,who won world cup,refused,0,0.566606879234314,8175
2026-01-15T16:13:56.839252,healthcare for homeless people,answered,5,0.2093178927898407,8092
2026-01-15T16:14:18.828729,ai in healthcare,answered,4,0.2876356840133667,4402
2026-01-15T16:26:45.793955,who won world cup,refused,0,0.566606879234314,7845
2026-01-15T16:26:59.509361,ai in healthcare,answered,4,0.2876356840133667,5226
2026-01-16T10:34:03.527500,ai in healthcare,answered,4,0.2876356840133667,15547
2026-01-16T10:35:03.793253,kosovo,refused,0,0.42902886867523193,7075
2026-01-16T10:44:24.247352,diabetes,answered,2,0.3092157542705536,6567
2026-01-16T10:47:02.713096,pregnancy,answered,3,0.34341004490852356,6128
2026-01-16T10:53:00.537116,kosovo,refused,0,0.42902886867523193,7104
2026-01-16T10:53:20.041018,homeless people access to healthcare,answered,4,0.21598544716835022,5917
2026-01-16T11:12:13.777700,ai in healthcare,answered,4,0.2876356840133667,12305
2026-01-16T11:21:11.390974,diabetes,answered,2,0.3092157542705536,6954
2026-01-16T11:31:00.627804,pregnancy,answered,3,0.34341004490852356,4893
2026-01-16T12:00:24.546263,gh,refused,0,0.4291836619377136,6280
2026-01-16T12:09:18.439853,tell me more about cyber security in healthcare,answered,5,0.24463246762752533,8360
2026-01-16T12:28:08.271969,ai in healthcare,answered,4,0.2876356840133667,13911
2026-01-16T12:28:42.775071,diabetes,answered,2,0.3092157542705536,7311
2026-01-16T12:29:01.169590,older adults,answered,4,0.27348482608795166,8492
2026-01-16T15:27:06.856083,homeless people,answered,4,0.298184871673584,10350
2026-01-16T15:27:41.459273,who won world cup 20 years ago,refused,0,0.607991635799408,5447
2026-01-16T15:37:24.289302,healthcare,answered,5,0.2820616364479065,5761
2026-01-16T15:37:47.383502,women in healthcare,answered,5,0.281711608171463,5177
2026-01-16T15:42:25.398503,healthcare,answered,5,0.2820616364479065,6339
2026-01-16T15:44:08.665390,mental health,answered,5,0.31159311532974243,7353
2026-01-16T16:12:46.323909,Opportunities for smart city implementations in healthcare?,answered,4,0.1951306164264679,8168
2026-01-16T16:30:23.851565,cybersecurity,answered,5,0.2836039662361145,6630
2026-01-18T15:57:13.310171,Tell me about homeless people access to healthcare,answered,4,0.24583862721920013,16238
2026-01-18T15:57:33.975140,who won world cup,refused,0,0.566606879234314,6762
2026-01-18T15:58:35.621618,ai in healthcare,answered,4,0.2876356840133667,6220
2026-01-18T17:23:36.498880+01:00,cybersecurity in healthcare,answered,4,0.1930234730243683,11558
2026-01-18T17:31:30.738970+01:00,who won the oscar,refused,0,0.5780525803565979,5969
